strategy,reliability_default,reliability_overconf,delta
Random,0.8812222222222224,0.8803888888888888,-0.0008333333333335746
Uncertainty,0.9670000000000001,0.8030277777777778,-0.1639722222222223
Dependency-aware,0.94575,0.8478888888888889,-0.09786111111111107
Greedy MC,0.9407222222222222,0.9406388888888887,-8.33333333335462e-05
Betweenness,0.9384722222222223,0.9403888888888887,0.0019166666666664556
Betweenness x risk,0.958722222222222,0.9303888888888889,-0.0283333333333331
