comparison,n,mean_diff,ci_lo,ci_hi,p_boot,p_ttest,significant_95
adaptive sigma=1.0 - random baseline,50,-0.10158336521958157,-0.16462405854814566,-0.04297162365820454,0.0002,0.0022733514010416516,True
adaptive sigma=2.0 - random baseline,50,-0.10614709070977765,-0.16743161768060508,-0.05048587647604972,0.0001,0.001028201096690275,True
