comparison,n,mean_diff,ci_lo,ci_hi,p_boot,p_ttest,significant_95
overconf: Greedy MC - Uncertainty,50,0.1376111111111111,0.10133333333333333,0.17347291666666664,0.0001,1.2535045372099411e-09,True
overconf: Greedy MC - Dep-aware,50,0.09275,0.06024374999999999,0.1267562499999999,0.0001,1.8530389118722194e-06,True
default: Greedy MC - Uncertainty,50,-0.026277777777777782,-0.04522222222222223,-0.007666666666666675,0.0052,0.009551369801484392,True
Uncertainty: overconf - default (regime hit),50,-0.1639722222222222,-0.19569513888888893,-0.13163541666666675,0.0001,1.9687856326670337e-13,True
Greedy MC: overconf - default (regime immunity),50,-8.333333333333303e-05,-0.007250000000000001,0.007333333333333336,0.972,0.9820996591741283,False
