comparison,n,mean_diff,ci_lo,ci_hi,p_boot,p_ttest,significant_95
default: Dep-aware - Uncertainty,50,0.014171481623992422,0.0024880606511943626,0.028743480654330876,0.0108,0.04045770575532614,True
default: Uncertainty - Random,50,0.06809094759325662,0.038875242085037696,0.10140036705881889,0.0001,9.568501251399581e-05,True
overconf: Dep-aware - Uncertainty,50,0.04618377810493859,0.02105140426280924,0.07402906450106124,0.0001,0.0013183865773396944,True
overconf: Uncertainty - Random,50,-0.01574306715848204,-0.04711077385965339,0.018279723276217314,0.3436,0.35205413275409064,False
overconf: DP Optimal - Dep-aware,50,0.0227239010989011,0.007671966575091575,0.040944139194139195,0.0008,0.011353901675923206,True
Uncertainty: overconf - default (regime hit),50,-0.08259820937302154,-0.11278550415302208,-0.05345504034452602,0.0001,1.830577291719221e-06,True
Dep-aware: overconf - default (regime hit),50,-0.05058591289207537,-0.07464862928944935,-0.02815789051933317,0.0001,9.847811933147782e-05,True
